Timestamp,Designation,PKD / Organisation,State,Years of service as PPKA,Date,QUESTION 1: CURRENT FUNCTIONS AND DISTRICT CONTEXT,QUESTION 2: STRENGTHS,QUESTION 3: WEAKNESSES,QUESTION 4: OPPORTUNITIES,QUESTION 5: THREATS AND EMERGING CHALLENGES,Additional Comments (Optional)
27/07/2026 14:55:45,Pegawai Kesihatan Daerah ,Pkd Kuala Langat ,Selangor ,9 tahun,27/07/2026,"Disease prevention, health promotion, health resource management ",Service delivery to population is the main / core function ,Shortages of health staffs despite many new programs ,"Involvement in the meetings at district level, for example, Mesyuarat Tindakan Pembangunan Daerah ",Ageing population despite lack of budget/ lack incentives to strengthen programme ,"Too many ceremonial programmes/ event to attend, that hinders prioritisation of the core function for population health "
27/07/2026 14:55:54,Dr ,Pkd muallim ,Perak ,17 tahun ,27/07/2026,Implimenting all 9 Public Health Functions ,Representative pkd in district is very crucial in giving technical input to DO for appropriate implimentation ,"Human Resource that is multitasking, sometimes doing ‘fire fighting’ mode of action",Networking with other departments and agencies may help in managing Health issues ,Uncertein of Health situation ie double burden of diseases and future pandemic ,
27/07/2026 15:16:13,Pegawai Kesihatan Daerah,PKD Jelebu,Negeri Sembilan,4,27/07/2026,Kawalan dan pencegahan penyakit berjangkit dan penyakit tidak berjangkit. Perancangan pembangunan kesihatan masyarakat dalam daerah. Whole nation approach with other agencies dalam mencapai SDG dan kesejahteraan masyarakat. Lain lain,Kami mengamalkan kerja berpasukan dan integriti dalam kerja seharian. Mempunyai struktur organisasi yang berstruktur dan kerjasama yang baik. Anggota mempunyai pengetahuan kesihatan awam yang baik. ,"Keadaaan fasiliti yang daif, sukar mendapat peruntukan pembangunan dan operasi. ",Kita mempunyai hubungan baik antara agensi. Pengetahuan & pandangan sebagai pakar perubatan diterima dan dihargai. ,Sering disalah anggap oleh KKM sendiri sebagai bukan pakar. Dianggap sebagai tidak kompeten. ,
27/07/2026 15:31:45,DR,"PEJABAT KESIHATAN DAERAH ROMPIN, PAHANG ",PAHANG ,2,01/09/2023,"Survelan penyakit (TB, HIV, denggi, campak, zoonosis).
Siasatan dan kawalan wabak serta aktiviti kawalan vektor.
Promosi kesihatan dan penglibatan komuniti melalui KOSPEN serta program pendidikan kesihatan.
Program imunisasi, kesihatan ibu dan anak, saringan NCD.
Penguatkuasaan di bawah Akta Makanan, Akta 342 dan peraturan berkaitan.
Kesediaan bencana dan CPRC daerah.
Penyelidikan operasi dan audit untuk meningkatkan kualiti perkhidmatan.
Pembangunan kompetensi anggota melalui latihan dan CPD.
Perancangan sumber dan tadbir urus melalui mesyuarat pengurusan, POA, serta pemantauan KPI.","Kakitangan yang kompeten, kerjasama yang baik, kemudahan infrastruktur teknologi","PKD tidak diberikan peluang untuk berkomunikasi dengan orang awam, contohnya menggunakan press statement, seperti yang boleh dibuat oleh ketua polis di daerah. Contoh untuk memaklumkan isu kesihatan di daerah, tidak dibenarkan untuk berkomunikasi dengan orang awam melainkan oleh DG",Latihan yang mencukupi,Community expectation ,
27/07/2026 15:32:04,Dr,PKD Seremban,Negeri Sembilan,14,27/07/2026,"Preventive medicine through various promotion activities, Health protection (immunization, ppe etc), various Health screening initiative, primary care medical service from womb to tomb , disease control, health laws enforcement, ensure the quality of service delivery, engagement with public, local government and stake holders. The element of medical and health research is encourage and nutured to improved the delivery of performance and service quality","1.Post of Officers and support staff almost full
2.Coverage of klinik kesihatan cover all over District
3.Budget is adequate for belanja mengurus
4. Good Collaboration with hospital under cluster hospital concept

","The aset is old and need lot of repair. Aset near BER still in use - Ambulance, ICT, non Ambulance (vehicle like van, 4x4), poor Building Maintenance esp PKD office. The allocation of budget for aset bukan perubatan ABR and HM is so small","1.High public Trust -kepercayaan masyarakat yg tinggi
2. Support from PBT - majlis bandaraya Seremban
3.Strong support from stake holders federal and state to support our program, fight the disease
","1. Seremban is highly develop - population is expanding, the number of Facility grow slowly
2. Double disease burden - No of NCD, vector borne disease, dengue, HIV still high
3. Economic challenges - influx of patient from private to gov Clinic
4. Influx of stable case from klinik pakar Hosp tuanku jaafar Seremban to KK","Staffing in PKD need to expand accordingly at least at par with hospital 
- NO penolong akauntan and akauntan, but PKD Seremban manage more than 180 milion yearly
- PKD Seremban with 1500+ staff only have 1 EO gred n5, at least we need senior EO or PTD"
27/07/2026 15:32:14,Pegawai Kesihatan Daerah,PKDGombak,Selangor,7 yrs,26/07/2026,"PKD merupakan pusat tadbir urus Kesihatan Awam di Daerah yang mengendalikan program Utama Kesihatan Awam meliputi Perkhidmatan Kesihatan Primer, Perkhidmatan Kesihatan Bergerak dan Pasukan Kesihatan Sekolah, Perkhidmatan Kawalan Penyakit Berjangkit, Perkhidmatan Kawalan Penyakit Tidak Berjangkit, Perkhidmatan Promosi Kesihatan, Perkhidmatan Keselamatan dan Kualiti Makanan, Perkhidmatan Institusi, Perkhidmatan Penguatkuasaan Akta-Akta Kesihatan Awam, Perkhidmatan Kesihatan Pekerjaan dan Perkhidmatan Kualiti Air Minuman serta Pusat bagi pembangunan Penyelidikan dan Inovasi Kesihatan Awam. ","Kepimpinan Kesihatan Awam di peringkat Daerah dalam memberikan input Analisa Data, input Teknikal, Pembangunan dan Kerjasama Strategik dalam Daerah dan terlibat secara lansung dalam Jawatankuasa Teknikal Dalam Daerah spt JK Pengurusan Bencana, JK Pembangunan Daerah, JK Perlesenan dan JK Kesejahteraan Rakyat. ","Keterbatasan masa, Sumber Kewangan dan Sumber manusia berbanding hospital yang lebih banyak Sumber. ","Reformasi Digital, Reformasi PKD,","Climate Change, Emerging & Re emerging of Disease, Disaster. ",
27/07/2026 15:33:19,Pegawai Kesihatan Daerah ,PKD Hulu Langat ,Selangor,9 tahun,27/07/2026,"Kawalan penyakit berjangkit, promosi kesihatan, kesihatan institusi, Penguatkuasaan akta 852, akta makanan dll, Kualiti air minuman dan perkhidmatan kesihatan primer, perkhimatan klinik pekerjaan","Memberi input kesihatan kepada jawatankuasa daerah  pembangunan, bencana,
Warga emas, kanak-kanak, kesejahteran rakyat, ahli lembaga pelawat penjara",Kekurangan sumber manusia untuk menjalankan perkhidmatan kesihatan RREFORMyang terbaik,"Reformasi digital, polliy reforms","Disasters, climate related events, urbanisation, ageing population ",
27/07/2026 15:33:30,PPKA,PKD Kunak,Sabah,1 year 7 month,27/07/2026,"PKD Kunak melaksanakan fungsi kesihatan awam merangkumi kawalan penyakit berjangkit dan tidak berjangkit, kesihatan keluarga, kesihatan persekitaran, promosi kesihatan, kesiapsiagaan bencana serta penyelarasan semua fasiliti kesihatan primer. Daerah Kunak mempunyai kawasan geografi yang luas, penempatan berselerak termasuk kawasan perumahan atas air, pecahan komuniti bukan warganegara: warganegara 2:1 yang menyebabkan cabaran dari segi akses, liputan perkhidmatan, respon wabak dan aktiviti lapangan.","Komitmen warga kerja yang tinggi, kerjasama rentas unit dan agensi yang baik membolehkan PKD terus menjalankan fungsi dengan berkesan walaupun berdepan kekangan sumber dan infrastruktur","Pertambahan skop tugas tidak seiring dengan penambahan sumber manusia, peruntukan dan infrastruktur. Beban pelaporan yang berulang, kekosongan jawatan kritikal, kemudahan yang uzur serta kekurangan aset operasi menjejaskan kecekapan pelaksanaan fungsi kesihatan awam.","Pendigitalan sistem secara bersepadu, pengukuhan struktur organisasi mengikut beban kerja daerah, penambahan jawatan kritikal, pembangunan kompetensi serta kerjasama strategik dengan agensi dan komuniti dapat memperkukuhkan peranan PKD pada masa hadapan.","Perubahan iklim, peningkatan penyakit berjangkit dan tidak berjangkit, migrasi penduduk, penyebaran maklumat tidak tepat serta kekangan sumber manusia dan kewangan merupakan cabaran utama yang boleh menjejaskan keupayaan PKD memenuhi mandat kesihatan awam.","Transformasi PKD diharapkan memberi fokus kepada pengukuhan fungsi teras kesihatan awam melalui pengurangan birokrasi, sistem digital yang lebih efisien, pengisian jawatan mengikut beban kerja sebenar serta peruntukan yang mencukupi bagi memastikan perkhidmatan lebih responsif dan mampan."
27/07/2026 15:36:40,District Health Officer,PKD MACHANG ,KELANTAN,7,27/07/2026,"Number of populations vs. Number of PPKA, almost most of the meetings requested the presence of District Health Officers at district meetings by DO +meetings at JKN by different Units but the same PPKA also needs to plan,organize, execute and monitor at district level. Most of the agencies know the importance of our presence and usually I will try to delegate the work and monitor the outcome and get their feedback. I prefer if more PPKAs are available in my district, we can achieve more with more impactful activities.","Teamwork among the officers, delegation of work, community trust","Previously we fight for posts but now we have several different posts available but still no body (only a few) fills the position. When I came to Machang, most of the staff are on their comfort zone, serving for many years in the same post and very difficult to change. Work reshuffle was done with the help of JKN and internal work rotation by PKD also done to counter this situation.","Great support from other PKDs,JKN and other agencies who always look for us first whenever it comes to any health issue.",Urbanisation and demographic change with industrialization in progress,"PPKAs will be given more opportunities to venture in other areas as public health is vast and dynamic. More PPKAs coverage, more people will recognize us"
27/07/2026 15:44:01,PEGAWAI KESIHATAN KAWASAN KINABATANGAN,PEJABAT KESIHATAN KAWASAN KINABATANGAN,SABAH,3,11/11/2023,"Pejabat Kesihatan Kawasan Kinabatangan delivers public health and primary healthcare services across Kinabatangan and Tongod. Functions include disease surveillance and outbreak control, vector control, tuberculosis and leprosy services, immunisation, maternal and child health, school health, NCD prevention, nutrition, environmental health, food safety, occupational health, health promotion and disaster response.

The main challenge is geography. Both districts cover more than 16,000 square kilometres, with communities dispersed across villages, plantations, riverine settlements and remote interior areas. Some locations require several hours or a full day of travel by road, four-wheel-drive vehicle or boat.

The population is diverse and mobile, including plantation workers, non-citizens and remote communities. Frequent movement, incomplete records and uncertain immunisation status can complicate contact tracing, tuberculosis treatment, maternal care and chronic disease follow-up.

The district also faces a double burden of communicable diseases such as dengue, malaria, tuberculosis, measles, diphtheria, typhoid and food poisoning, together with rising diabetes, hypertension, obesity and mental health problems.

Facilities are widely separated and vary in staffing, infrastructure and connectivity. Overall workload is influenced not only by population size, but also by remoteness, travel time, accessibility, disease burden and the cost of reaching underserved communities.","The main strengths of the PKK are responsive leadership, committed staff, multidisciplinary teamwork, strong local knowledge and effective collaboration.

The PKK can rapidly coordinate clinics, surveillance, environmental health, laboratories, hospitals and external agencies during outbreaks, disasters and environmental incidents.

Staff are adaptable and often manage routine services, field investigations, outreach and reporting within the same day. Strong teamwork supports comprehensive responses, such as combining epidemiological investigation, vector control, health education and community mobilisation during dengue outbreaks.

Local knowledge of villages, plantations, rivers, roads and community leaders helps teams plan outreach and trace contacts effectively.

The PKK also uses surveillance trends, locality mapping and screening data to guide action. Strong relationships with communities, schools, plantation management and agencies support immunisation, outbreak control, health promotion and disaster response.","The main weaknesses are structural and operational.

Resource allocation does not fully reflect the large geographical area, difficult access and higher cost of service delivery. A single field visit may require an entire day, repeated travel or overnight deployment.

Workforce capacity is stretched because many officers manage multiple programmes. During outbreaks or disasters, staff are redeployed from routine activities, affecting supervision, screening and programme evaluation.

Some functions depend heavily on a small number of experienced officers. Data systems are fragmented across different platforms and manual reports, causing duplicated work and limiting deeper analysis.

Specimen transport, laboratory feedback and referrals may be delayed by distance. Public health operations are also vulnerable to vehicle or boat breakdowns, poor roads, floods and slow procurement processes.

Remote facilities have uneven infrastructure and internet connectivity. The PKK also has limited authority over wider issues such as drainage, waste management, housing, water supply and plantation conditions.","The PKD transformation initiative offers an opportunity to strengthen district-level authority and capacity.

Resource allocation should consider geography, travel time, accessibility, disease risk and population mobility, not population size alone.

Greater district authority, emergency funds and simplified approval processes would allow faster responses during outbreaks and disasters.

Integrated digital systems and district dashboards could combine surveillance, laboratory, clinic and programme data. Offline-capable platforms would support remote clinics.

GIS mapping could identify disease hotspots, flood-prone areas, remote settlements and transport routes to improve outreach and preparedness.

Workforce development should strengthen epidemiology, data analysis, risk communication and emergency management. Community networks, plantation partnerships and multisectoral collaboration could support early warning, health promotion and follow-up.

Service innovations such as integrated outreach, boat clinics, mobile teams and telehealth could improve access for remote communities.","Future threats are likely to become more complex and occur simultaneously.

Communicable diseases will remain important while NCDs, obesity, mental health conditions and population ageing increase.

Outbreak control may become harder because of migration, incomplete immunisation, remote settlements, delayed healthcare-seeking and slow specimen transport.

Population movement involving plantation workers, non-citizens and mobile families may disrupt immunisation, tuberculosis treatment, maternal care and contact tracing.

Urbanisation, plantation expansion and land-use change may increase overcrowding, sanitation problems, dengue risk and human–wildlife contact.

Climate change may increase floods, heat, drought, fires, landslides and water disruption. These can isolate communities, delay referrals, interrupt medicines and increase infectious disease risk.

Misinformation may contribute to vaccine hesitancy, delayed treatment and reduced trust. Community expectations may also exceed available staffing, transport, facilities and connectivity.

The greatest threat is the possibility of outbreaks, disasters and routine service demands occurring at the same time.","The PKD transformation should recognise district health offices as operational population health authorities, not only programme implementers and reporting centres.

For large rural districts, staffing, funding and performance indicators should reflect geography, accessibility, population mobility and service complexity.

My hope is for a more empowered, data-driven and flexible PKD with stronger district authority, integrated systems, resilient logistics and adequate multidisciplinary staffing."
27/07/2026 15:57:44,District Health Officer,Kuantan,Pahang,7,27/07/2026,"Pejabat Kesihatan Daerah (PKD) Kuantan is responsible for delivering comprehensive public health services aimed at protecting, promoting, and improving the health of the district population. With an estimated population of 520000 people with total area of 2960m2. The district hosts numerous high-risk settings requiring regular public health oversight, including schools, childcare centres, universities, healthcare facilities, factories, food establishments, construction sites, ports, tourist destinations, prisons, and densely populated residential areas. Kuantan is also home to major industrial developments, including the Kuantan Port, Gebeng Industrial Estate, Malaysia-China Kuantan Industrial Park (MCKIP), and the East Coast Rail Link (ECRL) project. These developments increase the complexity of environmental health monitoring, occupational health surveillance, emergency preparedness, and inter-agency coordination.

Public health functions should cater to the demand required at District. 

The core public health functions include;

1.  Health Surveillance and Population Health Assessment

- Maximize utilization of a function of Command Center to monitor data through an online data management system and accesible at all time
- Data are presented during weekly Epid Meetings. 
-Data are accesible through different unit and for PHMS to monitor and analyze data

1. Disease Prevention and Control

 Outbreak preparedness and response. Varies response for different outbreaks. The district has a diverse disease profile. Communicable diseases such as dengue, tuberculosis, hand, foot and mouth disease (HFMD), measles, food- and water-borne diseases, and respiratory infections require continuous surveillance and rapid response. At the same time, the increasing burden of non-communicable diseases including diabetes, hypertension, obesity, cardiovascular disease, and cancer necessitates long-term preventive strategies, early detection, and integrated primary healthcare services. 

For Dengue outbreak, Jawatankuasa Denggi Daerah Kuantan agreed that cases are managed via inter agency response. Whatsapp group comprising Majlis Bandaraya Kuantan, Pejabat Daerah dan Tanah Kuantan, Jabatan Pengairan dan Saliran, Polis, SwCorp, Alam Flora. If theres an outbreak a whatsapp info will be informed and inter agency Task force to be conducted within 3 days and community gotong royong done within 7 days. This practice started to prevent the delays of Dengue meetings if theres an outbreak. 

PKD Kuantan too have look at contingency strategies in view Dengue cases on the rise. Currently pkd kuantan have 8 function ini Dengue team with 4 sub team each and if cases is on the rise pkd kuantan is able for deployment more teams at pkd alone. Furthermore outbreak are presented daily to Dengue cprc daily.

Active case detections are conducted with help of Health clinics led by Family Medicine Specialist.
 
1. Health Protection

Data monitoring, engagement with key stakeholders on issues like water safety, food safety, environmental issues 

Preparedness practices at PKD 

1. Health Promotion and Community Empowerment 

- Engagement with communities and stakeholders 
- ⁠Lead behaviour change agenda at District level
- ⁠Enhance primary care prevention

5.Health Policy, Planning and Management 

Strategic planning
Health needs assesment 
Resources management 
Health Financing
Pkd based policy 

6.Public Health Research and Quality Assurance

Pkd kuantan monitor research and quality assurance data via a database. And PKD kuantan have always supported importance of research. Jawatankuasa Kajian Pejabat Kesihatan Daerah Kuantan is created to monitor and for public Health Medicine specialist to aid and help out.

7.Emergency Preparedness and Disaster Management 

In Kuantan during MTL flood occurerence is a common issue. Flood and disaster management preparedness are conducted.

PKD Kuantan therefore maintains strong emergency preparedness and disaster response capabilities, coordinating evacuation centre health services, disease prevention measures, environmental sanitation, and post-disaster recovery activities.

7.Leadership and mentoring

Leadership and mentoring for Health workers are conducted and led by public Health Medicine specialist. 

In conclusion , PKD Kuantan manages one of the largest workloads in Pahang due to its large population, extensive healthcare network, high patient attendance, and broad range of public health programmes. Effective delivery of services depends on multidisciplinary collaboration with hospitals, local authorities, educational institutions, industry, community leaders, non-governmental organisations, and other government agencies. Community engagement initiatives, including Agenda Nasional Malaysia Sihat (ANMS), Komuniti Bebas Denggi (KomBeD), health promotion campaigns, and community-based screening programmes, are essential to empower individuals and communities to take greater ownership of their health.

Overall, the combination of rapid urbanisation, industrial growth, diverse population demographics, recurrent communicable disease threats, increasing non-communicable disease burden, disaster risks, and complex stakeholder engagement makes PKD Kuantan one of the most operationally demanding public health districts in Pahang. These factors require strong leadership, robust surveillance systems, integrated primary healthcare, evidence-based planning, and effective multisectoral collaboration to achieve sustainable improvements in population health.","One of the key strengths of PKD Kuantan is the availability of Public Health Medicine Specialists at the district level. Their expertise in epidemiology, disease prevention and control, health systems management, and population health enables evidence-based decision-making and effective leadership of public health programmes.

The District Health Officer (DHO), who is a Public Health Medicine Specialist, serves as the organisational leader, providing strategic direction, clinical governance, and mentorship to multidisciplinary teams. The DHO ensures that communicable diseases, outbreaks, and other emerging public health threats are closely monitored through robust surveillance systems, timely investigation, risk assessment, and coordinated response. This leadership role is also essential in strengthening interagency collaboration, emergency preparedness, quality improvement, and overall health system performance within the district.

Another major strength is the strong emphasis on community empowerment and engagement. PKD Kuantan has established an active network of MyCHAMPION volunteers who play an important role in promoting healthy lifestyles and supporting public health initiatives at the grassroots level. During dengue outbreaks, these community champions assist in raising public awareness, promoting source reduction activities, disseminating health information, and encouraging community participation in vector control programmes. They also contribute significantly to health promotion campaigns under the Agenda Nasional Malaysia Sihat (ANMS), helping to foster community ownership and improve health literacy.","One of the key challenges faced by District Health Officers (DHOs) is the significant amount of time devoted to administrative and operational matters due to insufficient administrative support staff. This often limits the time available for strategic leadership, population health planning, stakeholder engagement, programme evaluation, and community outreach, which are core functions of public health leadership.

Another major challenge is the limited funding available for the replacement of ageing assets and for the maintenance and repair of health clinics and staff quarters. Many primary healthcare facilities require upgrading to meet increasing service demands, changing healthcare needs, and modern standards of patient care. Deferred maintenance may also affect service efficiency, staff morale, and patient experience.

In addition, greater attention should be given to workforce wellbeing and human resource development within the Ministry of Health (MOH). Healthcare workers continue to face increasing workloads, workforce shortages, administrative pressures, and frequent public health emergencies, all of which contribute to stress and burnout. Strengthening mental health support through accessible counselling services, employee assistance programmes, leadership development, flexible work arrangements where feasible, and organisational initiatives that promote psychological wellbeing would help improve staff resilience, job satisfaction, retention, and ultimately the quality of healthcare delivery.","1. Digital Health Transformation and Data Integration

The expansion of digital health systems offers significant opportunities to improve disease surveillance, service planning, and operational efficiency. Integrating electronic medical records, public health surveillance platforms, laboratory reporting, and real-time dashboards will enable earlier detection of outbreaks, better monitoring of non-communicable diseases (NCDs), and more targeted public health interventions. Artificial intelligence and predictive analytics can further support risk stratification, resource allocation, and proactive public health decision-making.

2. Strengthening Public–Private Collaboration

Kuantan has a well-developed private healthcare sector comprising private hospitals, general practitioner (GP) clinics, community pharmacies, occupational health providers, and industries. Strengthening partnerships with these providers can substantially expand access to preventive services and improve continuity of care.

Private practitioners can play a greater role in:

* Immunisation programmes for children and adults.
* NCD screening, risk assessment, and long-term management.
* Mental health screening and referral.
* Early notification of communicable diseases and outbreak surveillance.
* Health promotion and lifestyle counselling.
* Shared care for stable chronic disease patients.

Establishing stronger data-sharing mechanisms, referral pathways, and joint quality improvement initiatives between public and private sectors would create a more integrated district health system.

3. National Health Insurance and Health Financing Reform

The proposed National Health Insurance or broader health financing reforms present an important opportunity to redesign healthcare delivery. If implemented, PKD Kuantan could transition from being primarily a direct provider of services to becoming a district population health manager and system coordinator.

Through strategic purchasing and empanelment of both public and private providers, primary healthcare services could become more accessible while reducing congestion in government facilities. Financing reforms could support integrated chronic disease management, preventive health services, and value-based care, where providers are incentivised based on quality and health outcomes rather than service volume. This would strengthen equity, efficiency, and continuity of care across the district.

4. Workforce Development and Leadership

The increasing complexity of public health challenges requires continuous investment in workforce development. Strengthening competencies in epidemiology, digital health, health economics, implementation science, emergency preparedness, behavioural science, and health leadership will improve organisational resilience.

Expanding multidisciplinary teams involving family medicine specialists, pharmacists, environmental health officers, nutritionists, psychologists, and allied health professionals will enhance integrated service delivery. Leadership development programmes for future public health leaders will ensure sustainable succession planning.

5. Community Empowerment and Community Networks

Existing community platforms such as Agenda Nasional Malaysia Sihat (ANMS), Komuniti Bebas Denggi (KomBeD), Village Health Volunteers, Resident Associations, schools, and religious organisations provide strong foundations for community participation.

Greater community ownership of health initiatives can improve prevention of dengue, obesity, diabetes, mental health issues, and tobacco use while strengthening disaster preparedness. Digital communication platforms and social media can further enhance health literacy and public engagement.

6. Multisectoral Partnerships

As the economic hub of Pahang, Kuantan hosts major industries including the Gebeng Industrial Estate, Malaysia–China Kuantan Industrial Park (MCKIP), Kuantan Port, and the East Coast Rail Link (ECRL) project.

Closer collaboration with local authorities, industries, educational institutions, environmental agencies, and non-governmental organisations can strengthen occupational health, environmental monitoring, emergency preparedness, climate resilience, and workplace health promotion. A Health in All Policies (HiAP) approach would enable health considerations to be integrated into urban planning, transport, housing, and industrial development.

7. Research, Innovation, and Implementation Science

PKD Kuantan is well positioned to become a district-level centre for operational research and implementation science through collaborations with universities and research institutions.

Routine use of programme evaluation, geospatial analysis, behavioural research, and implementation studies would generate local evidence to improve service delivery and inform policy. Innovative models of care, including telehealth, digital monitoring, and community-based interventions, should be evaluated and scaled where effective.

8. Service Innovation and Integrated Primary Healthcare

Future healthcare delivery should move towards integrated, person-centred, and preventive models of care. Digital consultations, remote patient monitoring, home-based care for frail older adults, multidisciplinary NCD clinics, and stronger integration between preventive and curative services can improve accessibility while reducing unnecessary hospital utilisation.","1. Rapid Urbanisation and Population Growth

As the state capital and economic hub of Pahang, Kuantan continues to experience rapid urbanisation and population growth. Large-scale developments, including the Malaysia–China Kuantan Industrial Park (MCKIP), Kuantan Port expansion, and the East Coast Rail Link (ECRL), have increased population mobility and migration. These changes place greater demand on primary healthcare services, environmental health monitoring, communicable disease surveillance, and health promotion activities.

2. Changing Disease Patterns

PKD Kuantan is managing a dual burden of disease. While communicable diseases such as dengue, tuberculosis, hand, foot and mouth disease (HFMD), measles, and food- and water-borne diseases continue to require intensive surveillance and rapid response, the prevalence of non-communicable diseases (NCDs) such as diabetes, hypertension, obesity, chronic kidney disease, and cancer continues to rise. This increases demand for long-term preventive care, screening, and integrated chronic disease management.

3. Climate Change and Extreme Weather Events

Climate change presents an increasing public health threat. Kuantan is particularly vulnerable to the northeast monsoon, which frequently causes flooding. Floods disrupt healthcare services, damage infrastructure, affect water and sanitation systems, increase the risk of communicable disease outbreaks, and require extensive public health emergency response. Rising temperatures and changing rainfall patterns may also increase mosquito breeding and prolong dengue transmission.

4. Emerging and Re-emerging Infectious Diseases

The COVID-19 pandemic demonstrated the importance of maintaining strong public health preparedness. Future emerging infectious diseases, antimicrobial resistance, zoonotic infections, and imported diseases due to increased international travel remain significant threats. Maintaining laboratory capacity, surveillance systems, and rapid response teams will continue to be essential.

5. Population Ageing

An ageing population will increase demand for chronic disease management, rehabilitation, palliative care, home-based services, mental health support, and caregiver assistance. Primary healthcare services must evolve to provide more integrated and person-centred care for older adults with multiple chronic conditions.

6. Misinformation and Declining Public Trust

The rapid spread of misinformation through social media presents an increasing challenge. False information regarding vaccination, communicable diseases, nutrition, and public health interventions may reduce community compliance and undermine disease prevention efforts. PKD Kuantan will need to strengthen risk communication, community engagement, and digital health education to maintain public confidence.

7. Workforce and Resource Constraints

Increasing service demand without proportional growth in workforce, infrastructure, and financial resources may affect service quality and responsiveness. Recruitment and retention of skilled healthcare workers, ageing healthcare facilities, and competing healthcare priorities may place additional pressure on district health services.

8. Industrialisation and Environmental Health Risks

Kuantan’s expanding industrial sector, including the Gebeng Industrial Estate, Kuantan Port, and MCKIP, increases the need for environmental health surveillance and emergency preparedness. Potential industrial accidents, hazardous chemical exposure, air and water pollution, and occupational health risks require strong collaboration between the Ministry of Health, local authorities, industries, and environmental agencies.

9. Increasing Community Expectations

Communities increasingly expect healthcare services that are timely, accessible, digitally enabled, and patient-centred. Meeting these expectations while maintaining equitable access, particularly for rural and Orang Asli communities, will require continuous service innovation, digital transformation, and stronger collaboration with private healthcare providers.", 
